id,author_last,author_first,author_full_name,title,publisher,publication_year,height_cm,width_cm,depth_cm,binding,page_count,edition_printrun,isbn_asin,editor,contributors,is_signed_inscribed,designer,description,artist_url,publisher_url,collection_grouping,tags,classification,bisac,ddc,location,accession_no,image_url
122,Blair,Dike,Dike Blair,Gouaches,Karma,2015,22.9,19.1,,Hardcover,416,"Edition of 500, New",9781938560286,"Rian, Jeff",,false,,"“The gouaches are outtakes from a global agora visibly altered by photography, telecommunications, and satellite surveillance … they document intimate contemporary sensation, the things we imbibe, the places we drift through in a world reconfigured for entertainment.” Dike Blair: Gouaches surveys the artist’s entire oeuvre in this medium, chronicling four decades of colorful, hyper-realistic gouache on paper works. Pursuing a wide range of subject matter–Shelter Island, haphazard stacks of books, cocktails and cigarettes, parking lots, nighttime swimming pools, Japanese cuisine, and obscured window frames, to name a few–the myriad objects and scenery are unified by Blair’s meticulous attention to detail and his fresh perspective on what it is we consume.",,https://karmakarma.org,Art,,,,,Clipper,,/assets/images/books/Blair_Gouaches_9781938560286.jpg
123,Blalock,Lucas,Lucas Blalock,Inside The White Cub,Peradam,2014,23.5,17.0,,Paperback,,"Staple Bound, Perfect Binding, [68] p. book + [24] p. calendar. Editionof 1000",9780990644811,,,false,,"Inside the White Cube began as an ersatz version of a​n exhibition catalogue​ initially scheduled to be published by White Cube in 2012,​ as part of their Inside the White Cube series. ​Though the project was eventually abandoned​, the materials had already been assembled, and ​Blalock,​​ with Peradam,​ sought t​o re-imagine what was initially ​intended to be a sales tool. Inside the White Cub is​ also the first publication to present Blalock’s project through exhibitions​​, and is free when you purchase a 2020 Wall Calendar, which also features works by the artist. - Peradam",,,,,,,,,,/assets/images/covers/9780990644811.jpg
124,Blásquez,Alfredo,Alfredo Blásquez,La playa de los juguetes perdios 2021,Inframundo,2021,22.0,15.0,,Hardback - Board,144,"spiral bound, offset printed, screen print",,,,false,,"The proliferation of the use of plastic in the toy industry began around 1950, until then almost all toys were made of wood or metal, currently 90% of the toys that are produced are made of plastic. Like many of our wastes, toys after having a short lifespan find their way to the oceans, where they navigate through the marine currents to be washed-up on different beaches and coasts of the world. If we consider that it is an indestructible and non-biodegradable material, every plastic toy that has been created continues to exist in one way or another, it does not disappear, but continue to decompose into smaller and smaller fragments. This project seeks to give new life to more than 450 toys that were found and recovered in beaches located in the Mexican Caribbean and Pacific Ocean between 2013 and 2018, as part of projects related to beach clean-up activities that had educational, scientific and social components. - Inframundo",,,,,,,,,,
125,Bochner,Mel,Mel Bochner,"Solar System & Rest Rooms: Writings and Interviews, 1965-2007",MIT Press,2008,27.9,21.6,2.5,Hardcover,240,"October, 120 b&w illus.",9780262026314,,,false,,"Artist Mel Bochner became a writer, he says, almost by accident. In 1965, as a young artist in New York, he was out of a job; Arts Magazine paid him $2.50 for every review he turned in, whether they published it or not; a month of review-writing paid his rent―$28.00 a month. His reviews and articles provoked a range of unexpected reactions. “At that time, artists who wrote were looked at suspiciously, as if writing somehow tainted their visual practice,” he writes. A painter friend attacked him publicly for “joining the enemy.” Bochner soon began testing the boundary between writing-as-criticism and writing-as-visual-art. Solar System & Rest Rooms collects both Bochner's writings on art and his writings as art, offering more than fifty pieces―reviews, art criticism, theoretical texts, interviews, catalog statements, notecards, and his groundbreaking “magazine interventions”―many reproduced in facsimile. Bochner is a leading figure in conceptualism; his 1966 installation at the School of Visual Arts Gallery Working Drawings and Other Visible Things on Paper Not Necessarily Meant to Be Viewed as Art is considered to be the earliest exhibition of conceptual art. Solar System & Rest Rooms chronologically documents the work and ideas of this important artist over a span of forty years, as well as providing a unique perspective on the conceptual and post-minimal art scene in New York. This book offers a rare insight into what it means to be an artist whose visual practice is inseparable from the sustained practice of writing. Mel Bochner has lived and worked in New York City since 1964. His work has been exhibited internationally and is included in major museum collections throughout the world.",,,Art,,,,,Clipper,,/assets/images/books/Bochner_Solar_System_Rest_Rooms_Writings_and_Interviews_1965-2007_9780262026314.jpg
126,Bochner,Mel,Mel Bochner,Amazing! Mel Bochner prints : from the collections of Jordan D. Schnitzer and his family foundation,JDSF (Jordan Schnitzer Family Foundation),2018,30.5,25.4,2.2,Hardcover,256,,9781732321205,Carolyn Vaughan (Editor),"Sienna Brown (Author), Ruth Fine (Author), Barry Schwabsky (Author), Jan Howard (Author), Mel Bochner (Artist), Jordan Schnitzer (Foreword)",false,,"For more than 50 years, American conceptualist Mel Bochner (born 1940) has been shaping dialogs between art and language through exhibition concepts, paintings and sculptures that embrace systems and structures to reveal their cracks and limitations, undermining the means we use to comprehend the world. Bochner created his first prints in 1973 at the invitation of publisher Robert Feldman of Parasol Press (who introduced a generation of minimalist and conceptual artists to printmaking through his work at Crown Point Press). Since then, Bochner has employed many different forms of printmaking, using and abusing its material possibilities and its unpredictability to counter the methodical fashion in which plates and stencils are cut, characters per line are fixed, or print runs set. This volume surveys Bochner's longstanding engagement with various types of printmaking, from aquatints to monoprints.",,,,,Individual Artist Monographs,,,Clipper,,/assets/images/books/Bochner_Amazing_Mel_Bochner_prints_from_the_collections_of_Jordan_D._Schnitzer_and_his_family_founda.jpg
127,Bochner,Mel,Mel Bochner,Language 1966-2006,The Art Institute of Chicago,2007,25.4,25.4,2.5,Hardcover,148,,9780300121445,,,false,,,,,,,Individual Artist Monographs,,,Clipper,,/assets/images/books/Bochner_Language_1966-2006_9780300121445.jpg
128,Bochner,Mel,Mel Bochner,Mel Bochner,Domaine De Kerguehennec,2009,24.1,17.8,2.5,Hardcover,176,,9782906574151,,,false,,"New York-based Conceptual art pioneer Mel Bochner writes in this monograph, ""What I try to do is stay open to the work as it develops, not impose myself on it, but permit it to take me somewhere. If I had a model, I suppose it would be those ancient Chinese artists who changed their name three times during their lifetime, in order not to become the prisoner of a style."" The book introduces new riffs--produced for an exhibition at Domaine de Kerguéhennec, in Brittany, France--on several well-known bodies of work, including Bochner's recent ongoing series The Thesaurus Paintings, in which a group of often humorous synonyms (lazy, lethargic, crazy, vulgar and irascible, for instance) are painted in brightly colored block letters, and the Measurement Pieces (conceived in the 1960s), in which the walls are highlighted with numbered arrows indicating their",,,,,Individual Artist Monographs,,,Clipper,,/assets/images/books/Bochner_Mel_Bochner_9782906574151.jpg
129,Bogars,Paul,Paul Bogars,Sterosophic Conjunctions,Timmer Art Books/Lecturis,2016,27.2,21.3,0.7,Softcover,48,"ills, bw,",9789462261860,,,false,,"Visual artist Paul Bogaers likes to describe his work as 'thought photography'. Making use of a medium that particularly excels in showing the world as it actually looks, Bogaers has been searching for years for ways of using photos to express an inner world. He combines his rather intuitively collected photographs from different sources with his own photographs, usually taken without any preconceived idea. Thus he creates surprising, marvellous, or sometimes even impossible combinations.",,https://lecturis.nl,Art,,,,,Clipper,,/assets/images/books/Bogars_Sterosophic_Conjunctions_9789462261860.jpg
130,Bogram,Martin,Martin Bogram,Italia Photographs from Italy 2013 - 2015,Max Ström,2017,29.7,23.0,1.0,Hardcover,80,,9789171263865,,,false,,"Swedish photographer Martin Bogren (born 1967) spent the years 2013–15 in Italy creating this gorgeous and lyrical black-and-white photo-essay, his tribute to the country and the people he met on his travels. Bogren’s luscious images of everyday street scenes, anonymous passersby, languid smokers, extroverted pedestrians and remote silhouettes are suffused with an affectionate, soft-focus gaze, making them seem like long-lost, unattributed archival photographs from a vanished era. Beautifully designed, Italia is destined to become a photobook classic. Bogren’s work became widely known in the mid-2000s with his book Ocean, which was shortlisted for Best Photobook in Arles 2009 and received the honorable prize for the Best Photobook in Sweden the same year. Other critically acclaimed titles by Bogren include Lowlands, published by Max Strom in 2011, and Tractor Boys, published by Dewi Lewis in 2013.",,,Individual Photographer Monographs,,,,,"Hudson Street Library, NYC",,/assets/images/covers/9789171263865.jpg
131,Boivin,Thomas,Thomas Boivin,a short story,Self published,2018,22.0,31.0,,Softcover,108,"sur papier munken white,. First?",,,,false,,"A short story. A love story. A dialogue. Love on the left bank meets Before sunrise. Playful, delightful, sad and heartfelt. Wonderful text and wonderful images work so wonderfully well in the cinematic lay-out. Stefan Vanthuyne",http://www.thomasboivin.com/A-Short-Story,,Individual Photographer Monographs,"love, french, bw",,,,"Hudson Street Library, NYC",,/assets/images/books/Boivin_a_short_story_NULL.jpg
