id,row_number,title,author,isbn,issues
189,188,El Triángulo Perfecto,"Calderon, Miguel",,missing_cover_image
191,190,Blind,"Calle, Sophie",,missing_cover_image
192,191,"Rachel, Monique..","Calle, Sophie",,missing_cover_image
193,192,Ghosts,"Calle, Sophie",,missing_cover_image
194,193,Hasselblad Awards 2010,"Calle, Sophie",,missing_cover_image
195,194,True Stories,"Calle, Sophie",,missing_cover_image
197,196,Voir la mer,"Calle, Sophie",,missing_cover_image
198,197,Gasoline,"Campany, David",,missing_cover_image
199,198,"If You Don’t Belong, Don’t Be Long,","Campell, Scott",,missing_cover_image
200,199,Some of Us Did Not Die,"Carland, Tammy Rae",,missing_cover_image
201,200,3 Projects,"Carlsen, Asger",9782953699760,incomplete_dimensions
202,201,MAA (signed),"Carpani, Federico",,missing_cover_image
204,203,The Modern Century,"Cartier Bresson, Henri",,missing_cover_image
205,204,Here and Now,"Cartier Bresson, Henri",,missing_cover_image
206,205,The Decisive Moment,"Cartier Bresson, Henri",,missing_cover_image
207,206,Magnum Analog Recovery,"Cartier-Bresson, René Burri,Raymond, Henri",,missing_cover_image;incomplete_dimensions
208,207,The Semiotics of the Stone,"Caruth, Scott",,missing_cover_image
209,208,Paloma al Aire,"Cases, Ricardo",,missing_cover_image
210,209,Nightfall (signed with print),"Cassels, Giles",,missing_cover_image
211,210,Floatation Tank (signed with print),"Cassels, Giles",,missing_cover_image
212,211,Within Reach,"Casteel, Jordan",9780915557233,incomplete_dimensions
213,212,Cesura Fanzine #02,Cesura,,missing_cover_image;incomplete_dimensions
214,213,Choices,"Chamberlain, John",,missing_cover_image
215,214,New Sculpture,"Chamberlain, John",,missing_cover_image
217,216,End Or: Pictures Included,"Champassak, Tiane Doan na",,missing_cover_image
218,217,My Freedom,"Champassak, Tiane Doan na",,missing_cover_image
219,218,Siam's Guy,"Champassak, Tiane Doan na",9791090306509,missing_cover_image;incomplete_dimensions
220,219,No Photos,"Champassak, Tiane Doan na",,missing_cover_image
221,220,Looters,"Champassak, Tiane Doan na",,missing_cover_image
222,221,2041,"Chaplin, Lewis",9780957472464,incomplete_dimensions
223,222,Still,"Charlesworth, Sarah",,missing_cover_image
224,223,Stills,"Charlesworth, Sarah",,missing_cover_image
225,224,Cherchez la femme (Search for the Woman),"Chessex, Luc",9782883501034,missing_cover_image
226,225,Cherchez La Femme,"Chessex, Luc",,missing_cover_image
227,226,Show Caller,"Chetrit, TAlia",,missing_cover_image
228,227,Dark Room,"Christopher, Phyliss",,missing_cover_image;incomplete_dimensions
230,229,Guantanamo,"Clark, Edmund",,missing_cover_image
231,230,[MISSING],"Close, Chuck",,missing_title;missing_cover_image
232,231,Prints,"Close, Chuck",,missing_cover_image
233,232,Exploded (London),"Coates, Nigel",,missing_cover_image
234,233,Everything_1,"Cobayashi, Kenta",,missing_cover_image
235,234,Friends Forever,"Cobayashi, Kenta",,missing_cover_image
236,235,A Real Bronx Cheer,"Colen, Dan",9781938560118,missing_cover_image
237,236,Trash,"Colen, Dan",,missing_cover_image
238,237,Women with Cameras (Self Portrait),"Collier, Anne",,missing_cover_image
239,238,Women with Cameras (Anonymous),"Collier, Anne",,missing_cover_image
240,239,The Model,"Comencini, Luigi",,missing_cover_image
241,240,Ink Drawings,"Condo, George",,missing_cover_image
242,241,George Condo: Painting Reconfigured,"Baker, Simon",978-0500093948,missing_cover_image
243,242,Mental States,"Condo, George",,missing_cover_image
244,243,Fire In Cairo,"Connors, Matthew",,missing_cover_image;incomplete_dimensions
245,244,Thirty-Four Reverse Telescopes and Three Buttons,"Connors, Matt",,missing_cover_image;incomplete_dimensions
246,245,A Bell Is a Cup,"Connors, Matt",9780980651645,incomplete_dimensions
247,246,Arrangements,"Cotterell, Clayton",9781941556030,missing_cover_image
248,247,"Public, Private, Secret: On Photography and the Configuration of Self","Cotton, Charlotte",,missing_cover_image
249,248,Pleasing,"Coulson, Laura",,missing_cover_image
250,249,Selected works from 1990's - 2000,"Crawford, William",,missing_cover_image
251,250,Silhouettes,"Cray, Fred",,missing_cover_image
252,251,Unique Photographs,"Cray, Fred",,missing_cover_image
253,252,Money,"Cremers, Prill Vieceli",,missing_cover_image
254,253,[MISSING],"Crewdson, Gregory",,missing_title;missing_cover_image
255,254,Disss-Co (A Fragment),"Crimp, Douglas",,missing_cover_image
256,255,ARC,"Croggen, Zoe",9780987353061,missing_cover_image
257,256,I Refuse to be Invisible,"Crosby, Njideka Akunyili",9780943411033,missing_cover_image
259,258,Predecessors,"Crosby, Njideka Akunyili",9780998242200,missing_cover_image;incomplete_dimensions
260,259,Format,"Crowner, Sarah",,missing_cover_image
261,260,The Book of Genesis,"Crumb, R",,missing_cover_image
262,261,The Difficulties of Nonsense,"Cumming, Robert",,missing_cover_image
263,262,[MISSING],"Currin, John",,missing_title;missing_cover_image
265,264,Portraits,"Currin, John",9788899534172,incomplete_dimensions
266,265,Men,"Currin, John",,missing_cover_image
269,268,Pictures of Pictures,"Cwynar, Sara",,missing_cover_image
272,270,A - New York 1989-93,"D'Agata, Antoine",,incomplete_dimensions
273,271,Index,"D'Agata, Antoine",,missing_cover_image
274,272,VIRUS,"D'Agata, Antoine",,missing_cover_image;incomplete_dimensions
275,273,Easternsports,"DA Corte, Alex",9781942607168,incomplete_dimensions
276,274,True Life,"DA Corte, Alex",,missing_cover_image
277,275,Free Roses,"DA Corte, Alex",,missing_cover_image
278,276,Marigolds,"DA Corte, Alex",,missing_cover_image
279,277,C-A-T Spells Murder,"DA Corte, Alex",,missing_cover_image
280,278,Rubber Pencil Devil,"DA Corte, Alex",,missing_cover_image
281,279,Two Perspectives on Tokyo,"Daifu; Cobayashi, Kenta, Motoyuki",,missing_cover_image
282,280,Night and Day,"David Armstrong, Rene Ricard, David",9781907071287,missing_cover_image
283,281,Sketchbooks,"Davis, Stuart",,missing_cover_image
284,282,[MISSING],"Davis, Noah",,missing_title;missing_cover_image
285,283,May the Circle Remain Unbroken,"Day, Corinne",,missing_cover_image
286,284,[MISSING],"de Ballingcourt, Jules",,missing_title;missing_cover_image
287,285,The Accidental Fold,de Brauw,,missing_cover_image
288,286,L'amoureuse,De Galas,9782930537238,missing_cover_image
289,287,A Way of Living: The Art of Willem de Kooning,"de Kooning, Willem",9780714845814,incomplete_dimensions
291,289,I loved my wife,"de Lathauwer, Dieter",,missing_cover_image
292,290,This is What Hatred Did,"de Middel, Cristina",,missing_cover_image
293,291,The Vanity of Certain Flowers Part Two,"De Potter, Peter",,missing_cover_image
294,292,The Complete Papers,"Demand, Thomas",,missing_cover_image;incomplete_dimensions
295,293,Manhattan Out,"Depardon, Raymond",,missing_cover_image
